Age,Gender,Education,Major,Income,Occupation,ID,Feedback,StartTimeToronto,EndTimeToronto,CompletionCode,Bonus,dssQuestion1,dssQuestion2,dssQuestion3,dssQuestion4,dssQuestion5,dssQuestion6,dssQuestion7,dssQuestion8,dssQuestion9,dssQuestion10,dssQuestion11,msShortQuestion1,msShortQuestion2,msShortQuestion3,msShortQuestion4,msShortQuestion5,msShortQuestion6,Strategy,Type,VariableLength,TaskSet,Task1Length,Task2Length,Task3Length,Task4Length,Task5Length,Task6Length,Task1Deadline,Task2Deadline,Task3Deadline,Task4Deadline,Task5Deadline,Task6Deadline,Task1Points,Task2Points,Task3Points,Task4Points,Task5Points,Task6Points,Task1Rank,Task2Rank,Task3Rank,Task4Rank,Task5Rank,Task6Rank,DynamicTasks,EarnedPoints,OptimalPoints,Time,TurnOrder,Correlation,CorrelationCondition
,Female,High school diploma or equivalent,njaglajgnklsjfgnrg,,bhjnkol,1701180000000,,28-11-2023 10:05,19-01-2024 15:47,o1OO93-qwzIEvLqTuqOtx,0.0,4,4,5,5,4,4,4,7,7,4,2,3,5,5,4,4,4,"getting through to the end
",order,0,2,5,5,5,5,5,5,21,13,11,29,16,9,199,311,225,219,222,171,2,0,0,1,3,0,,640,1176,27250,,-0.05,0.0
46.0,Male,Bachelor's degree,Mechanical Engineer,230000.0,Principal Network Engineer,1701290000000,,29-11-2023 16:42,29-11-2023 16:52,v4F4iaauDVmNqNvQ9eBlV,1.0,6,7,7,7,5,1,1,2,2,1,2,3,5,5,4,6,5,I tried to determine which would expire together and choose the larger reward. I also tried to schedule them out to make sure I was getting the max points.,complete,0,1,5,5,5,5,5,5,13,25,18,6,11,14,348,67,170,234,330,50,2,4,3,1,0,0,,819,915,85418,,-0.58,-0.7
45.0,Male,Non-university diploma/certificate,,79000.0,Manufacturing. (IT Manager),1701300000000,,29-11-2023 16:59,29-11-2023 17:03,W8hMMLdQVNj_NrQUDXEw6,0.75,6,6,7,7,7,1,2,2,2,1,2,3,4,6,4,4,2,"I went for the highest value task first, the the second, third, etc.",complete,0,1,5,5,5,5,5,5,11,8,6,7,17,27,356,201,288,212,336,243,1,0,0,0,2,3,,935,1223,9467,,0.11,0.0
22.0,Female,High school diploma or equivalent,Criminal Justice ,64000.0,Consultant  ,1702330000000,,11-12-2023 16:33,11-12-2023 16:40,30xdI3d6WsYVTIm3DZlwq,0.66,5,5,4,4,5,4,5,5,5,3,2,5,4,4,3,4,3,I picked which task to complete based on the amount of rounds that I had in time that was on it.,complete,0,1,5,5,5,5,5,5,6,16,12,29,11,19,160,159,222,254,186,304,1,0,2,3,0,0,,636,966,17212,,0.63,0.7
71.0,Male,High school diploma or equivalent,istory,40000.0,server,1702340000000,,11-12-2023 17:50,11-12-2023 18:21,v-ceZPJue1GoFYsH8J1Ci,0.76,7,7,6,7,5,4,6,4,7,6,2,6,5,4,6,6,3,Just went by a certain pattern. Also repetition,complete,0,1,5,5,5,5,5,5,15,18,6,10,21,6,216,92,222,257,151,329,1,2,0,0,3,0,,459,953,37541,,-0.81,-0.7
61.0,Female,Bachelor's degree,Accounting,2998.0,self-employed,1702350000000,,11-12-2023 22:16,11-12-2023 22:30,t0tng0aVAxQn34eU23cOo,0.96,7,7,7,7,7,1,2,2,1,1,2,6,6,7,7,7,5,I looked at how many points each task earned and when each would expire to determine which were best to let expire in order to get the most points possible.,complete,0,1,5,5,5,5,5,5,25,13,6,18,15,19,141,260,110,75,285,178,4,2,0,0,1,3,,864,864,57935,,-0.08,0.0
24.0,Female,Bachelor's degree,phil and psych,0.0,,1703260000000,,22-12-2023 09:58,22-12-2023 10:01,6ZuR65x1JvJX31HUyVEkX,0.78,4,5,5,3,5,5,4,3,5,5,6,4,3,5,4,4,6,test,turn,1,1,3,4,4,4,7,8,14,8,8,20,13,20,140,100,313,180,477,275,3,2,1,4,0,0,,733,1110,7657,,0.01,0.0
24.0,Female,Bachelor's degree,psych and phil ,2.0,grad student,1704740000000,,08-01-2024 14:44,08-01-2024 14:55,eLFBhCeKGokDsSoq_GLd3,0.84,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"test
",turn,1,1,7,7,6,4,4,2,8,14,15,7,11,29,334,289,173,200,169,50,1,2,0,0,0,3,,673,673,62848,,-0.75,-0.7
21.0,Female,High school diploma or equivalent,Psychology,150000.0,Student,1704990000000,,11-01-2024 10:34,11-01-2024 10:40,u8SgZqf8pac_J-EQ7rPqn,1.0,5,5,5,5,5,2,3,2,2,2,2,6,6,7,7,6,6,I looked at the value of the task and then the deadline.,complete,0,1,5,5,5,5,5,5,6,27,16,6,8,28,244,56,197,269,235,212,1,0,2,0,0,3,,653,734,23197,,-0.73,-0.7
41.0,Male,Master's degree,Finance,149999.0,Manager,1705280000000,,14-01-2024 19:12,14-01-2024 19:25,effnQLD2cyEiVki9lmJc2,0.0,6,6,6,6,5,2,6,7,6,6,2,6,6,3,7,6,3,I just randomly select.,turn,1,1,5,4,4,8,3,6,19,20,5,16,7,19,153,149,196,460,152,241,0,0,0,0,0,0,,0,957,62093,"1 ,",0.13,0.0
34.0,Male,High school diploma or equivalent,,31999.0,Cashier,1705290000000,,14-01-2024 21:23,14-01-2024 21:28,L580WdQtEfabS5Re6N9mn,0.78,1,1,3,3,3,5,5,5,5,3,2,4,7,1,1,1,1,I tried to go for the task with most points and go down from there.,turn,1,1,4,6,3,5,6,6,7,23,22,15,10,24,182,319,138,183,209,50,0,2,1,0,0,3,,507,893,25908,"3 ,3 ,3 ,6 ,6 ,6 ,6 ,6 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,6 ,",-0.16,0.0
21.0,Female,Bachelor's degree,"Psychology, Human Resources",0.0,Student,1705590000000,,18-01-2024 08:53,18-01-2024 09:08,CYu8_IFo3tVRJQB_yUiLu,0.7,6,6,7,7,5,4,7,3,7,2,2,1,3,1,2,7,7,,turn,1,1,3,8,2,8,2,7,22,10,11,19,6,24,72,503,92,462,138,335,3,1,0,0,0,2,,910,1300,78715,"2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,4 ,4 ,4 ,4 ,1 ,1 ,1 ,",0.1,0.0
27.0,Male,Bachelor's degree,Marketing and Economics,169999.0,Director or Technology ,1705940000000,,22-01-2024 12:35,22-01-2024 12:44,AgRvlM63C8hFIAjziwn-y,1.0,5,4,6,5,6,5,4,5,4,3,2,3,3,4,2,5,3,I tried toselect the highest paying tasks with the earliest deadlines to start and then base it off points and deadlines for all the rest as well.,complete,1,1,6,3,6,7,6,2,21,9,19,7,25,17,342,131,200,429,340,87,3,0,2,1,4,0,,1311,1311,52455,,0.04,0.0
23.0,Male,High school diploma or equivalent,none,12000.0,none,1705950000000,,22-01-2024 12:36,22-01-2024 12:47,_zEsr37uyT-q24hhv2Z77,0.86,5,4,4,4,5,6,6,6,4,6,2,3,7,7,6,7,5,I chose the shortest deadlines at the beginning. Then I followed after tasks that had enough days between gaps and had the most points.,turn,0,1,5,5,5,5,5,5,14,10,6,22,16,16,244,265,181,338,286,333,0,0,1,4,3,2,,1138,1222,44280,"3 ,3 ,3 ,3 ,3 ,6 ,6 ,6 ,6 ,6 ,5 ,5 ,5 ,5 ,5 ,4 ,4 ,4 ,4 ,4 ,",0.88,0.7
